,Grid Coordinates,Value,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
150,"(22.5, 86.5)",25.11,10,25,16,6,18,6,24,12,4,10,39,11,34,30,13,11,17,15,24,24,21,6,12,20,5,29,27,25,22,30
151,"(22.5, 87.5)",24.858,7,13,14,7,19,12,24,13,8,10,29,8,31,26,15,16,25,20,23,22,18,9,11,20,2,28,32,27,24,35
152,"(22.5, 88.5)",24.898,5,13,15,6,20,12,24,14,8,10,27,6,27,25,13,16,29,20,26,21,17,10,11,22,2,25,33,31,26,34
153,"(22.5, 92.5)",22.23,19,12,7,3,27,17,28,36,19,12,19,6,29,23,5,16,19,19,24,27,19,4,25,20,4,10,28,32,17,20
154,"(23.5, 68.5)",26.608,21,23,11,5,25,7,30,22,6,15,48,7,25,20,13,8,7,18,14,12,31,9,15,34,4,15,13,29,25,36
155,"(23.5, 69.5)",26.65,21,25,11,5,26,6,32,21,8,18,29,7,27,20,14,8,7,18,14,12,31,9,15,34,4,17,15,29,25,39
156,"(23.5, 70.5)",26.34,20,23,11,7,25,8,30,21,6,20,26,9,28,19,15,9,9,18,14,11,32,8,15,35,6,14,13,27,26,38
157,"(23.5, 71.5)",25.98,19,23,9,4,24,7,29,23,8,21,22,10,31,19,19,12,10,17,12,16,31,11,14,30,7,14,14,28,29,34
158,"(23.5, 72.5)",25.84,18,24,10,4,24,5,27,19,9,16,22,18,38,18,20,13,9,16,13,19,31,9,16,28,7,16,13,26,26,32
159,"(23.5, 73.5)",25.91,16,22,10,5,22,7,27,16,9,15,21,22,38,18,18,12,9,16,12,17,28,11,14,32,8,17,13,26,32,34
160,"(23.5, 74.5)",25.18,13,23,17,6,19,7,29,12,4,15,22,22,43,17,18,14,10,18,14,18,25,9,11,32,9,18,12,28,30,32
161,"(23.5, 75.5)",25.178,10,24,19,6,16,6,27,7,4,12,21,20,42,25,31,23,11,16,17,21,21,7,12,28,11,18,12,22,31,28
162,"(23.5, 76.5)",24.985999999999997,12,24,26,7,16,7,25,11,6,12,17,19,47,23,35,23,10,14,17,19,22,7,8,24,11,19,10,22,28,27
163,"(23.5, 77.5)",24.370000000000005,13,24,26,8,17,8,25,11,6,12,19,13,48,22,33,20,11,11,17,20,20,4,7,22,12,23,11,27,32,27
164,"(23.5, 78.5)",24.1,10,21,29,9,20,6,25,8,6,14,22,13,46,18,23,13,12,12,27,24,20,5,7,20,13,25,11,29,29,29
165,"(23.5, 79.5)",23.8,14,22,21,7,17,4,24,8,7,17,23,13,41,19,21,10,12,14,30,25,19,7,8,19,13,25,12,30,25,40
166,"(23.5, 80.5)",23.908,16,24,17,6,18,4,25,10,9,17,25,12,37,20,19,8,11,13,28,29,21,6,13,21,11,23,14,29,19,43
167,"(23.5, 81.5)",23.120000000000005,16,25,17,5,16,5,26,9,9,16,29,14,37,24,16,9,12,14,29,31,19,6,9,19,10,23,17,31,16,41
168,"(23.5, 82.5)",23.54,20,24,17,7,16,5,26,10,8,14,31,13,31,29,15,9,13,12,31,26,16,2,3,22,6,26,18,31,15,51
169,"(23.5, 83.5)",24.25,21,26,20,5,15,4,28,10,6,12,28,13,35,30,19,11,13,11,33,28,16,2,4,18,5,27,20,28,12,47
170,"(23.5, 84.5)",23.518,17,28,21,1,14,4,25,11,5,8,34,17,37,31,17,10,12,10,31,25,17,3,2,19,6,26,25,29,19,44
171,"(23.5, 85.5)",23.77,13,27,17,2,15,4,25,13,4,11,31,16,36,33,14,13,11,11,29,29,18,3,6,19,6,27,28,30,20,34
