,Grid Coordinates,Value,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
99,"(20.5, 73.5)",37.69,16,19,30,30,16,4,12,13,14,13,19,13,6,32,16,10,15,20,19,22,17,9,26,11,33,53,10,5,18,29
100,"(20.5, 74.5)",39.94,17,20,20,24,21,7,16,18,24,12,15,14,6,28,19,18,17,16,19,19,21,11,22,13,31,44,10,3,22,23
101,"(20.5, 75.5)",41.11199999999999,21,21,13,24,14,5,16,27,29,16,11,19,7,31,25,16,18,18,23,16,16,12,11,12,24,42,10,9,21,21
102,"(20.5, 76.5)",42.12,21,18,13,24,14,2,21,24,27,20,12,24,13,26,22,15,18,22,25,9,16,18,10,12,24,42,9,8,21,20
103,"(20.5, 77.5)",42.4,23,16,12,24,14,3,23,22,29,21,11,25,14,25,22,13,17,23,29,7,14,10,9,12,27,44,6,15,21,18
104,"(20.5, 78.5)",43.25,23,19,11,25,15,2,24,19,27,21,12,26,11,24,20,11,18,26,35,7,20,9,6,7,26,45,8,15,22,15
105,"(20.5, 79.5)",42.69,18,20,7,26,17,5,25,21,29,20,14,35,14,22,18,12,17,26,38,6,23,7,2,7,25,38,9,16,24,13
106,"(20.5, 80.5)",42.89,18,17,6,24,21,7,27,22,24,22,13,33,17,22,20,11,16,27,40,3,23,7,12,9,22,35,3,18,18,12
107,"(20.5, 81.5)",41.66,15,14,7,23,19,9,24,19,21,25,13,12,13,22,23,11,19,23,38,4,34,6,10,15,33,43,3,23,18,12
108,"(20.5, 82.5)",41.69,18,12,8,21,24,9,24,20,22,22,12,12,16,20,22,13,18,22,36,8,36,5,10,15,33,36,3,26,18,10
109,"(20.5, 83.5)",41.24,19,10,10,20,24,8,23,10,17,20,9,14,20,20,20,13,15,18,34,11,37,3,12,18,34,39,5,27,19,21
110,"(20.5, 84.5)",39.43,14,9,14,18,15,7,21,5,10,19,9,16,20,22,22,15,17,19,37,14,36,4,12,18,34,38,4,30,19,32
111,"(20.5, 85.5)",37.24,10,8,23,13,15,0,18,9,10,21,8,14,16,23,22,5,11,25,31,19,36,8,10,15,36,45,4,33,25,37
112,"(20.5, 86.5)",37.09,9,7,25,6,16,0,9,8,2,17,10,16,13,18,19,6,10,29,34,21,36,17,11,16,39,46,4,42,29,38
113,"(21.5, 69.5)",36.09,8,18,28,18,11,4,21,10,14,13,29,24,3,46,9,21,10,38,16,20,17,9,12,14,29,54,14,6,8,31
