,District Name,District Centroid Lat.,District Centroid Lng.,Grid Centroid Lat.,Grid Centroid Lng.
622,Uttar PradeshSant Kabir Nagar,26.79133915899589,83.03835878225404,26.5,83.5
623,Uttar PradeshSant Ravi Das Nagar,25.36446083226432,82.43522519243074,25.5,82.5
624,Uttar PradeshShahjahanpur,27.99061756428759,79.82901039514249,27.5,79.5
625,Uttar PradeshShamli,29.52738572909502,77.28200910778286,29.5,77.5
626,Uttar PradeshShravasti,27.597726229561932,81.79177452466669,27.5,81.5
627,Uttar PradeshSiddharth Nagar,27.204083402890237,82.78606943068003,27.5,82.5
628,Uttar PradeshSitapur,27.50115752081892,80.85282551258369,27.5,80.5
629,Uttar PradeshSonbhadra,24.466614961179875,83.06718872796903,24.5,83.5
630,Uttar PradeshSultanpur,26.239003146845747,82.26375115729645,26.5,82.5
631,Uttar PradeshUnnao,26.630889177602423,80.63785500892259,26.5,80.5
632,Uttar PradeshVaranasi,25.36022676051113,82.82525414347785,25.5,82.5
633,UttarakhandAlmora,29.682446536323905,79.50310559493572,29.5,79.5
634,UttarakhandBageshwar,29.98519231900901,79.8392542930631,29.5,79.5
635,UttarakhandChamoli,30.581988243452237,79.56257315461146,30.5,79.5
636,UttarakhandChampawat,29.290010196677297,80.06649190402557,29.5,80.5
637,UttarakhandDehradun,30.532436767698872,77.90880829378214,30.5,77.5
638,UttarakhandGarhwal,29.976606042142883,78.774446074898,29.5,78.5
639,UttarakhandHardwar,29.885733398243257,77.9301066183109,29.5,77.5
640,UttarakhandNainital,29.33577661977329,79.49851947473556,29.5,79.5
641,UttarakhandPithoragarh,30.161202262848878,80.3309462532434,30.5,80.5
642,UttarakhandRudraprayag,30.55493204606301,79.09325922570866,30.5,79.5
643,UttarakhandTehri Garhwal,30.462934053635177,78.48790102162725,30.5,78.5
644,UttarakhandUdham Singh Nagar,29.027215653808806,79.45419754933222,29.5,79.5
645,UttarakhandUttarkashi,30.968291299140272,78.56772666696826,30.5,78.5
646,West BengalAlipurduar,26.65869610029692,89.53975640539059,26.5,89.5
647,West BengalBankura,23.079786872857145,87.12587799360706,23.5,87.5
648,West BengalBarddhaman,23.444364113133307,87.81624259961113,23.5,87.5
649,West BengalBirbhum,24.063161980666646,87.65168739277946,24.5,87.5
650,West BengalDakshin Dinajpur,25.311535346903444,88.77062481852175,25.5,88.5
651,West BengalDarjiling,26.848192279791654,88.40713050072371,26.5,88.5
